name,page_number,reference,is_bold,volume
Aristide Quintilien,71,,false,vol_1
Aristide Quintilien,78,,false,vol_1
Aristide Quintilien,348,,false,vol_1
Aristobule,121,,false,vol_1
Aristophane,94,,true,vol_1
Aristote,3,,true,vol_1
Aristote,9,,true,vol_1
Aristote,20,,true,vol_1
Aristote,23,,true,vol_1
Aristote,29,,true,vol_1
Aristote,31,,true,vol_1
Aristote,32,,true,vol_1
Aristote,44,,true,vol_1
Aristote,68,,true,vol_1
Aristote,69,,true,vol_1
Aristote,74,,true,vol_1
Aristote,78,,true,vol_1
Aristote,94,,true,vol_1
Aristote,133,,true,vol_1
Aristote,134,,true,vol_1
Aristote,135,,true,vol_1
Aristote,146,,true,vol_1
Aristote,175,,true,vol_1
Aristote,191,,true,vol_1
Aristote,219,,true,vol_1
Aristote,226,,true,vol_1
Aristote,239,,true,vol_1
Aristote,299,,true,vol_1
Aristote,334,,true,vol_1
Aristote,342,,true,vol_1
Aristote,348,,true,vol_1
Aristote,388,,true,vol_1
Aristote,389,,true,vol_1
Aristote,434,,true,vol_1
Aristote,458,,true,vol_1
Aristote,493,,true,vol_1
Aristote,527,,true,vol_1
Aristote,553,,true,vol_1
Aristote,554,,true,vol_1
Aristote,574,,true,vol_1
Aristote,592,,true,vol_1
Aristote,595,,true,vol_1
Aristote,596,,true,vol_1
Aristote,597,,true,vol_1
Aristote,598,,true,vol_1
Aristote,623,,true,vol_1
Aristote (roue d’),xxv,,false,vol_1
Aristote (roue d’),13,,false,vol_1
Aristote (roue d’),64,,false,vol_1
Aristote (roue d’),183-184,,false,vol_1
Aristote (roue d’),249,,false,vol_1
Aristoxène,146,,false,vol_1
Aristoxène,227,,false,vol_1
Aristoxène,571,,false,vol_1
"Armoises (Ch.-L. des), Sʳ d’Anfonville",105,,false,vol_1
Arnaud de Villeneuve,287,,false,vol_1
Arnobe,35,,false,vol_1
Arnobe,36,,false,vol_1
Arnobe,37,,false,vol_1
Arnobe,49,,true,vol_1
Arnobe,85,,false,vol_1
Arnobe,110,,false,vol_1
Arnobe,111,,false,vol_1
Arnoux (le P.),161,,false,vol_1
Aron (Pietro),396,,false,vol_1
Arsy (Baron Anne d’),xxxviii,,false,vol_1
Arsy (Baron Anne d’),462,,false,vol_1
Arsy (Baron Anne d’),470,,true,vol_1
Artorius,30,,false,vol_1
Athénée,91,,true,vol_1
Athénée,96,,true,vol_1
Athénée,103,,false,vol_1
Athénée,187,,false,vol_1
Athénée,571,,false,vol_1
Atri (Acquaviva d’),,Châteauvillain,false,vol_1
Aubery (Louis d’),617,,false,vol_1
Aubigné (d’),81,,false,vol_1
Aubry (Louis) du Mesnil,248,,false,vol_1
Augustin (Sᵗ),5,,false,vol_1
Augustin (Sᵗ),47,,true,vol_1
Augustin (Sᵗ),97,,true,vol_1
Augustin (Sᵗ),109,,false,vol_1
Augustin (Sᵗ),185,,false,vol_1
Augustin (Sᵗ),391,,true,vol_1
Augustin (Sᵗ),465,,true,vol_1
Augustin (Sᵗ),469,,true,vol_1
Augustin (Sᵗ),623,,false,vol_1
Augustin (Sᵗ),626,,false,vol_1
Augustin (Sᵗ),629,,true,vol_1
Augustin (Sᵗ),631,,true,vol_1
Autocius d’Ascalon,472,,false,vol_1
Autolycus,457,,false,vol_1
Auxcousteaux,447,,false,vol_1
Averroès,52,,false,vol_1
Averroès,104,,false,vol_1
Averroès,226,,true,vol_1
Averroès,341,,false,vol_1
Averroès,348,,false,vol_1
Averroès,349,,false,vol_1
Averroès,595,,false,vol_1
Avicenne,104,,false,vol_1
Ayrolo (Gio.-Batt.),620,,false,vol_1
Bacchius,71,,false,vol_1
Bacchius,145,,true,vol_1
Bacchius,146,,false,vol_1
Bacchius,195,,false,vol_1
Bacchius,389,,true,vol_1
Bacchius,398,,false,vol_1
Bachelier (H.),xxxii,,false,vol_1
Bachelier (H.),64,,false,vol_1
Bachelier (H.),124,,false,vol_1
Bachelier (le P. Simon),251,,false,vol_1
Bachelier (le P. Simon),456,,true,vol_1
Bachet,184,,false,vol_1
Bacon (François),"XLVI, n. 2",,false,vol_1
Bacon (François),37,,false,vol_1
Bacon (François),131,,false,vol_1
Bacon (François),133,,false,vol_1
Bacon (François),169,,true,vol_1
Bacon (François),171-172,,false,vol_1
Bacon (François),247,,false,vol_1
Bacon (François),309,,true,vol_1
Bacon (François),311,,false,vol_1
Bacon (François),312,,false,vol_1
Bacon (François),314,,false,vol_1
Bacon (François),331,,false,vol_1
Bacon (François),333,,false,vol_1
Bacon (François),334,,false,vol_1
Bacon (François),336,,false,vol_1
Bacon (François),356,,false,vol_1
Bacon (François),360,,false,vol_1
Bacon (François),379,,false,vol_1
Bacon (François),420,,true,vol_1
Bacon (François),486,,false,vol_1
Bacon (François),488,,false,vol_1
Bacon (François),491,,false,vol_1
Bacon (François),492,,false,vol_1
Bacon (François),493,,false,vol_1
Bacon (François),524,,false,vol_1
Bacon (François),593,,true,vol_1
Bacon (François),596,,false,vol_1
Bacon (François),597,,false,vol_1
Bacon (François),599,,false,vol_1
Bacon (François),601,,false,vol_1
Bacon (François),611,,true,vol_1
Bacon (François),612,,false,vol_1
Bacon (François),615,,false,vol_1
Bacon (François),616,,false,vol_1
Bacon (Roger),132,,false,vol_1
Bacon (Roger),312,,false,vol_1
Bacon (Roger),314,,false,vol_1
Bacon (Roger),360,,false,vol_1
Bagno (Guidi di),602,,false,vol_1
Baif (J.-A. de),44,,false,vol_1
Baif (J.-A. de),45,,false,vol_1
Baif (J.-A. de),75,,true,vol_1
Baif (J.-A. de),78,,false,vol_1
Baif (J.-A. de),80,,false,vol_1
Baif (J.-A. de),81,,false,vol_1
Baif (J.-A. de),101,,false,vol_1
Baif (J.-A. de),102,,false,vol_1
Baif (J.-A. de),116,,false,vol_1
Baif (J.-A. de),135,,false,vol_1
Baif (J.-A. de),349,,false,vol_1
Baif (J.-A. de),447,,false,vol_1
Baillet (Adr.),249,,false,vol_1
Baillet (Adr.),300,,false,vol_1
Baillet (Adr.),335,,false,vol_1
Baillet (Adr.),357,,false,vol_1
Baillet (Adr.),436,,false,vol_1
Bailly (le),83,,false,vol_1
Bailly (le),548,,false,vol_1
Baillif (le),,Bailly (le),false,vol_1
Balbus,47,,false,vol_1
Baldi (Bernard),13,,false,vol_1
Baldi (Bernard),64,,false,vol_1
Balescon de Tarente,23,,true,vol_1
Baliani,524,,false,vol_1
Baliani,596,,false,vol_1
Baliani,620,,false,vol_1
Ballard (P.),72,,false,vol_1
Ballard (P.),82,,false,vol_1
Ballard (P.),430,,false,vol_1
Ballard (P.),585,,false,vol_1
Ballius,,Bailly (le),false,vol_1
Balzac,134,,false,vol_1
Balzac,379,,false,vol_1
Balzac,618,,false,vol_1
Bandel (J.),64,,false,vol_1
Bandel (J.),124,,false,vol_1
Bandini,107,,false,vol_1
Bandini,437,,false,vol_1
Barberin,,Barberini,false,vol_1
Barberini (Antonio),438,,false,vol_1
Barberini (François),xxx,,false,vol_1
Barberini (François),223,,false,vol_1
Barberini (François),238,,false,vol_1
Barberini (François),248,,false,vol_1
Barberini (François),249,,false,vol_1
Barberini (François),437,,false,vol_1
Barberini (François),439,,false,vol_1
Barberini (François),602,,false,vol_1
Barberini (Maffeo),438,,false,vol_1
Barberini (Maffeo),605,,false,vol_1
Bardi (Giovanni),81,,false,vol_1
Barillon (Jean-Jacques),xxxvii,,false,vol_1
Barnaud,53,,false,vol_1
Baronius,106,,false,vol_1
Barozzi,241,,false,vol_1
Barozzi,265,,false,vol_1
Barreaux (Jacques des),166,,false,vol_1
Bartoli de Saxoferrato,497,,true,vol_1
Bartoli de Saxoferrato,498,,true,vol_1
Bartoli de Saxoferrato,504,,false,vol_1
Basile (Sᵗ),71,,false,vol_1
Basile (Sᵗ),630,,true,vol_1
Bassompierre (Louis de),xxxi,,false,vol_1
Basson,133,,false,vol_1
Basson,147,,false,vol_1
Basson,168,,false,vol_1
Basson,299,,false,vol_1
Basson,492,,false,vol_1
Bataille (Gabriel),82,,false,vol_1
Baudoin (Jean),131,,false,vol_1
Baudoin (Jean),314,,false,vol_1
Baudrand,605,,false,vol_1
Baudry (Guillaume),256,,false,vol_1
Baudry (Guillaume),456,,false,vol_1
Baudry (Guillaume),461,,false,vol_1
Baudry (Guillaume),473,,false,vol_1
Baudry (Guillaume),570,,false,vol_1
Bauldri (le P. Michel),xxxiii,,false,vol_1
Bayle,561,,false,vol_1
Bayle,605,,false,vol_1
Beaugrand (Jean de),XLVI,,false,vol_1
Beaugrand (Jean de),XLVII,,false,vol_1
Beaugrand (Jean de),461,,false,vol_1
Beaugrand (Jean de),620,,false,vol_1
Beausoleil (de),326,,false,vol_1
Bède,106,,false,vol_1
Beeckman,136,,false,vol_1
Beeckman,149,,false,vol_1
Beeckman,193,,false,vol_1
Beeckman,196,,false,vol_1
Beeckman,250,,false,vol_1
Beeckman,258,,false,vol_1
Beeckman,269,,false,vol_1
Beeckman,299,,false,vol_1
Beeckman,312,,false,vol_1
Beeckman,313,,false,vol_1
Beeckman,349,,false,vol_1
Beeckman,355,,false,vol_1
Beeckman,358,,false,vol_1
Beeckman,398,,false,vol_1
Beeckman,399,,false,vol_1
Beeckman,401,,false,vol_1
Beeckman,404,,false,vol_1
Beeckman,415,,false,vol_1
Beeckman,425,,false,vol_1
Beeckman,426,,false,vol_1
Beeckman,434,,false,vol_1
Beeckman,435,,false,vol_1
Beeckman,473,,false,vol_1
Beeckman,491,,false,vol_1
Beeckman,492,,false,vol_1
Beeckman,493,,false,vol_1
Beeckman,524,,false,vol_1
Beeckman,556,,false,vol_1
Beeckman,596,,false,vol_1
Beeckman,606,,false,vol_1
Beeckman,618,,false,vol_1
Beguin,267,,false,vol_1
Bellièvre (Hélène de),460,,false,vol_1
Bellièvre (Nicolas de),117,,false,vol_1
Benedetti,13,,false,vol_1
Berchorius,,Bersuire,false,vol_1
Bergeron,213,,false,vol_1
Bergeron,542,,false,vol_1
Bergeron,617,,false,vol_1
Bergier (Jean),117,,false,vol_1
Bergier (Nicolas),117,,false,vol_1
Beringen (Henri de),xxxvi,,false,vol_1
Bernard (Sᵗ),63,,false,vol_1
Bernard (Arnaud),18,,false,vol_1
Bernard (Guillaume),18,,false,vol_1
Bernard (Imbert),18,,false,vol_1
Bernard (Vincent),18,,false,vol_1
Bernegger,612,,false,vol_1
Bernouilli (lois de),267,,false,vol_1
Bersuire (Pierre),32,,true,vol_1
Bersuire (Pierre),33,,true,vol_1
Bertius (Pierre),88,,false,vol_1
Bertius (Pierre),107,,false,vol_1
"Berulle (le P., puis cardinal de)",249,,false,vol_1
"Berulle (le P., puis cardinal de)",436,,false,vol_1
"Berulle (le P., puis cardinal de)",603,,true,vol_1
"Berulle (le P., puis cardinal de)",605,,false,vol_1
Berville (Sʳ de),,Colombelle (de),false,vol_1
Besse,123,,false,vol_1
Besson,265,,false,vol_1
Besson,597,,false,vol_1
Biancani (le P.),13,,false,vol_1
Biancani (le P.),202,,false,vol_1
Biancani (le P.),336,,false,vol_1
Biblis,383,,true,vol_1
Bignon (Jérôme),xxxvii,,false,vol_1
Bigot (Etienne),235,,false,vol_1
Bigot (Marie),235,,false,vol_1
Bigot,xxxvii,,false,vol_1
Billaine (Pierre),156,,false,vol_1
Billaine (Pierre),163,,false,vol_1
Billaine (Pierre),172,,false,vol_1
Binet (Cl.),82,,false,vol_1
Biringuccio,288,,false,vol_1
Biringuccio,417,,true,vol_1
Bist (Martin Van der),206,,false,vol_1
Bitault (Jean),167,,false,vol_1
Bitault (Jean),168,,false,vol_1
Biton,187,,false,vol_1
Blaeu (Blavius ou Caesius),600,,false,vol_1
Blageart,321,,false,vol_1
Blancanus,,Biancani,false,vol_1
Blanchard (René),xx,,false,vol_1
Blemor,20,,false,vol_1
Blondet (Abraham),xxxiii,,false,vol_1
Blondet (Abraham),117,,false,vol_1
Blondet (Abraham),585,,false,vol_1
Blot (de),,Chouvigny,false,vol_1
Bocage (Adrien),72,,false,vol_1
Bochart (Samuel),517,,false,vol_1
Bodin,168,,false,vol_1
Bodin,248,,false,vol_1
Bodin,288,,false,vol_1
Bodin,295,,false,vol_1
Bodin,300,,false,vol_1
Boèce,78,,false,vol_1
Boèce,91,,true,vol_1
Boèce,349,,false,vol_1
Boèce,398,,false,vol_1
Boèce,580,,true,vol_1
Boerhave,30,,false,vol_1
Boesset (Antoine),xlii,,false,vol_1
Boesset (Antoine),82,,false,vol_1
Boisrobert,166,,false,vol_1
Boissat,166,,false,vol_1
Bonard,xxxiv,,false,vol_1
Boncompagni,208,,false,vol_1
Bongars (Jacques),509,,false,vol_1
Bonnet (Jean de St),xxxvi,,false,vol_1
Bordes (Sr de),,Mercier (Jos.),false,vol_1
Borgonuovo (Archangelo da),229,,true,vol_1
Boswell,593,,false,vol_1
Botheray (Rodolphe),141,,false,vol_1
Bouchard (Jean-Jacques),107,,false,vol_1
Boucqueval (Sr de),,"Hallé (Jacques), et Marcel (Cl.)",false,vol_1
Boulduc (le P. Jacques),xxxiii,,false,vol_1
Boulduc (le P. Jacques),7,,false,vol_1
Boulduc (le P. Jacques),43,,false,vol_1
Boulenger,xl,,false,vol_1
Boulliau,xxxiii,,false,vol_1
Boulliau,620,,false,vol_1
Bourbon (Antoine de),xxxv,,false,vol_1
Bourdelot (Jean),xli,,false,vol_1
Bourdin (le P. Pierre),xxxii,,false,vol_1
Bourdin,xxxix,,false,vol_1
Bourne (William),250,,false,vol_1
Bourzeis (Amable de),xxxv,,false,vol_1
Bouteville (le comte de),xxviii,,false,vol_1
Bouthillier (Léon),xxxvi,,false,vol_1
Boutonné (Rolet-),422,,false,vol_1
Boutonné (Rolet-),423,,false,vol_1
Bouziat (Gabriel),18,,false,vol_1
Boverius,70,,false,vol_1
Boverius,133,,false,vol_1
Boyle,356,,false,vol_1
Boyssier (J.-J.),241,,false,vol_1
Brahe (Tycho),210,,true,vol_1
Brahe (Tycho),212,,true,vol_1
Brahe (Tycho),239,,false,vol_1
Brahe (Tycho),240,,false,vol_1
Brahe (Tycho),560,,false,vol_1
Bréau (Sr de),,Verthamon (de),false,vol_1
Bredeau (Claude),xxv,,false,vol_1
Bredeau (Claude),1,,false,vol_1
Bredeau (Claude),3,,false,vol_1
Bredeau (Claude),4,,false,vol_1
Bredeau (Claude),5,,false,vol_1
Bredeau (Claude),6,,false,vol_1
Bredeau (Claude),8,,false,vol_1
Bredeau (Claude),10,,false,vol_1
Bredeau (Claude),13,,false,vol_1
Bredeau (Claude),14,,false,vol_1
Bredeau (Claude),18,,false,vol_1
Bredeau (Claude),31,,true,vol_1
Bredeau (Claude),36,,true,vol_1
Bredeau (Claude),46,,true,vol_1
Bredeau (Claude),50,,false,vol_1
Bredeau (Claude),51,,false,vol_1
Bredeau (Claude),52,,false,vol_1
Bredeau (Claude),53,,false,vol_1
Bredeau (Claude),55,,false,vol_1
Bredeau (Claude),57,,false,vol_1
Bredeau (Claude),58-59,,false,vol_1
Bredeau (Claude),61,,false,vol_1
Bredeau (Claude),66,,true,vol_1
Bredeau (Claude),67,,false,vol_1
Bredeau (Claude),70,,false,vol_1
Bredeau (Claude),84,,true,vol_1
Bredeau (Claude),95,,false,vol_1
Bredeau (Claude),101,,false,vol_1
Bredeau (Claude),103,,false,vol_1
Bredeau (Claude),105,,false,vol_1
Bredeau (Claude),108,,true,vol_1
Bredeau (Claude),110,,true,vol_1
Bredeau (Claude),111,,false,vol_1
Bredeau (Claude),112,,false,vol_1
Bredeau (Claude),119,,true,vol_1
Bredeau (Claude),120,,false,vol_1
Bredeau (Claude),121,,false,vol_1
Bredeau (Claude),143,,true,vol_1
Bredeau (Claude),150,,true,vol_1
Bredeau (Claude),173,,true,vol_1
Bredeau (Claude),181,,true,vol_1
Bredeau (Claude),185,,false,vol_1
Bredeau (Claude),186,,true,vol_1
Bredeau (Claude),189,,false,vol_1
Bredeau (Claude),192,,false,vol_1
Bredeau (Claude),245,,false,vol_1
Bredeau (Claude),318,,true,vol_1
Bredeau (Claude),319,,false,vol_1
Bredeau (Claude),369,,false,vol_1
Bredeau (Claude),380,,false,vol_1
Bredeau (Claude),395,,false,vol_1
Bredeau (Claude),447,,true,vol_1
Bredeau (Claude),482,,false,vol_1
Bredeau (Claude),484,,false,vol_1
Bredeau (Claude),495,,true,vol_1
Bredeau (Claude),503,,false,vol_1
Bredeau (Claude),550,,false,vol_1
Bredeau (Claude),562,,true,vol_1
Bredeau (Claude),567,,false,vol_1
Bredeau (Claude),580,,true,vol_1
Bredeau (Claude),582,,false,vol_1
Bredeau (Claude),587,,false,vol_1
Bredeau (Claude),590,,false,vol_1
Bredeau (Étienne),84,,false,vol_1
Bredeau (Étienne),143,,false,vol_1
Bredeau (Étienne),150,,false,vol_1
Bredeau (Guillaume),1-2,,false,vol_1
Bredeau (Guillaume),45,,false,vol_1
Bredeau (Guillaume),49,,true,vol_1
Bredeau (Guillaume),57,,false,vol_1
Bredeau (Guillaume),64,,false,vol_1
Bredeau (Guillaume),66,,false,vol_1
Bredeau (Guillaume),68,,false,vol_1
Bredeau (Guillaume),84,,false,vol_1
Bredeau (Guillaume),110,,true,vol_1
Bredeau (Guillaume),120,,true,vol_1
Bredeau (Guillaume),152,,false,vol_1
Bredeau (Guillaume),153,,false,vol_1
Bredeau (Guillaume),171,,false,vol_1
Bredeau (Guillaume),182,,true,vol_1
Bredeau (Guillaume),189,,false,vol_1
Bredeau (Guillaume),215,,false,vol_1
Bredeau (Guillaume),216,,false,vol_1
Bredeau (Guillaume),219,,false,vol_1
Bredeau (Guillaume),220,,false,vol_1
Bredeau (Guillaume),224,,false,vol_1
Bredeau (Guillaume),349,,false,vol_1
Bredeau (Guillaume),395,,true,vol_1
Bredeau (Guillaume),495,,false,vol_1
Bredeau (Guillaume),496,,true,vol_1
Bredeau (Guillaume),550,,false,vol_1
Bredeau (Guillaume),562,,false,vol_1
Bredeau (Guillaume),586,,false,vol_1
Bredeau (Guillaume),587,,false,vol_1
Bredeau (Michel),495,,false,vol_1
Bredeau (Michel),496,,false,vol_1
Bredellus,,Bredeau,false,vol_1
Bremant (le P. Jacques),64,,false,vol_1
Bremant (le P. Jacques),156,,false,vol_1
Brenet,579,,false,vol_1
Bretel (Louis),xxx,,false,vol_1
Brian (le P. Pierre),538,,false,vol_1
Brossard (le P. Christophe),xxi,,false,vol_1
Brossard (le P. Christophe),40,,false,vol_1
Brossard (Sébastien de),430,,false,vol_1
Brosse (Sr de la),,Leloyer (Pierre),false,vol_1
Brosse (Guy de la),,La Brosse,false,vol_1
Broussel (de),xxxvii,,false,vol_1
Brun,326,,false,vol_1
Bruno (Giordano),134,,false,vol_1
Bruno (Giordano),137-138,,false,vol_1
Bruno (Giordano),147,,false,vol_1
Bruno (Giordano),156,,false,vol_1
Bruno (Giordano),398,,false,vol_1
Bruno (Giordano),491,,false,vol_1
Bruno (Jean),xxiv,,false,vol_1
Bruslard,xxxviii,,false,vol_1
Bryennius,71,,false,vol_1
Bryennius,571,,false,vol_1
Buckingham (duc de),595,,false,vol_1
Buckingham (duc de),598,,false,vol_1
Budé (Guillaume),93,,true,vol_1
Budé (Guillaume),94,,false,vol_1
Bünau (Rudolphe de),63,,false,vol_1
Buon (Nicolas),148,,false,vol_1
Buon (Nicolas),234,,false,vol_1
Buon (Nicolas),557,,true,vol_1
Buteo,16,,true,vol_1
Buteo,257,,false,vol_1
Buteo,498,,true,vol_1
Buteo,504,,false,vol_1
Buxtorf (Jean),17,,false,vol_1
Calcagnini,130,,false,vol_1
Calvin,160,,false,vol_1
Camart (le P. Gilles),156,,false,vol_1
Camart (le P. Gilles),456,,true,vol_1
Camden,250,,false,vol_1
Campanella,xxxiii,,false,vol_1
Campanella,"xlvi, n. 2",,false,vol_1
Campanella,"liii, n. 1",,false,vol_1
Campanella,37,,false,vol_1
Campanella,63-64,,false,vol_1
Campanella,70,,false,vol_1
Campanella,122,,false,vol_1
Campanella,123,,false,vol_1
Campanella,134,,false,vol_1
Campanella,135,,false,vol_1
Campanella,147,,false,vol_1
Campanella,148,,false,vol_1
Campanella,149,,false,vol_1
Campanella,177,,true,vol_1
Campanella,179,,false,vol_1
Campanella,180,,false,vol_1
Campanella,226,,false,vol_1
Campanella,359,,false,vol_1
Campanella,604,,true,vol_1
Candale (de),,Foix (François de),false,vol_1
Capugnano,344,,false,vol_1
Caquey (Louis),494,,false,vol_1
Carcavy (de),xxxviii,,false,vol_1
Cardan,13,,false,vol_1
Cardan,70,,false,vol_1
Cardan,97,,true,vol_1
Cardan,104,,false,vol_1
Cardan,105,,false,vol_1
Cardan,108,,true,vol_1
Cardan,141,,false,vol_1
Cardan,153,,false,vol_1
Cardan,156,,false,vol_1
Cardan,183,,false,vol_1
Cardan,242,,false,vol_1
Cardan,257,,false,vol_1
Cardan,288,,false,vol_1
Cardan,399,,false,vol_1
Cardan,496,,true,vol_1
Cardan,505,,false,vol_1
Carneade,524,,false,vol_1
Carpentarius (Nicolas),,Charpentier,false,vol_1
Casaubon,343,,false,vol_1
Casaubon,509,,false,vol_1
Cassiodore,494,,true,vol_1
Cassiodore,508,,false,vol_1
Castelfranc (Sr de),202,,false,vol_1
Castelli,524,,false,vol_1
Castellion,55,,false,vol_1
Castelnau (Michel de),137,,false,vol_1
Cato,88,,false,vol_1
Catulle,215,,false,vol_1
Caurroy (Eustache du),81,,false,vol_1
Caurroy (Eustache du),370,,true,vol_1
Caurroy (Eustache du),585,,true,vol_1
Caus (Sal. de),294,,false,vol_1
Caus (Sal. de),299,,false,vol_1
Caus (Sal. de),319,,false,vol_1
Caus (Sal. de),350,,true,vol_1
Caussin (le P. Nicolas),xxxii,,false,vol_1
Cauvigny (François de),42,,false,vol_1
Cavendish (Ch.),xlviii,,false,vol_1
Celiers (des),243,,false,vol_1
